query,params,expected
Institut National de la Statistique et des Etudes Economiques,,534fff81a3a7292c64a77e5c
"insee
",,534fff81a3a7292c64a77e5c
Infogreffe ,,5620c13fc751df08e3cdbb48
OpenStreetMap,,534fffa0a3a7292c64a7806b
OSM,,534fffa0a3a7292c64a7806b
Ministère de l'Intérieur,,534fff91a3a7292c64a77f53
intérieur,,534fff91a3a7292c64a77f53
police,,534fff91a3a7292c64a77f53
crime,,534fff91a3a7292c64a77f53
Education Nationale,,534fff8fa3a7292c64a77f22
Education,,534fff8fa3a7292c64a77f22
Institut national de la propriété industrielle ,,542a61d888ee382b8f22e2d7
INPI,,542a61d888ee382b8f22e2d7
Observatoire national de la délinquance et des réponses pénales ,,534fff9aa3a7292c64a78026
délinquance,,534fff9aa3a7292c64a78026
ondrp,,534fff9aa3a7292c64a78026
Haute Autorité de santé,,534fff7ba3a7292c64a77e15
HAS,,534fff7ba3a7292c64a77e15
Agence nationale pour la cohésion sociale et l'égalité des chances,,534fff51a3a7292c64a77cc7
Cour des comptes,,53698dada3a729239d20331d
CDC,,53698dada3a729239d20331d
Météo-France,,534fff8ba3a7292c64a77ed4
Météo,,534fff8ba3a7292c64a77ed4
Ministère de l'Agriculture et de l'Alimentation,,534fff8ca3a7292c64a77edf
Agriculture,,534fff8ca3a7292c64a77edf
Alimentation,,534fff8ca3a7292c64a77edf
"Ministère de l'économie, des finances et de la relance",,534fff8ea3a7292c64a77f02
finances,,534fff8ea3a7292c64a77f02
relance,,534fff8ea3a7292c64a77f02
économie,,534fff8ea3a7292c64a77f02
"Ministère de l'Economie, de l'Industrie et du Numérique",,534fff96a3a7292c64a77fe7
Agence nationale des fréquences,,551d00efc751df60500cd89f
ARCEP,,551d00efc751df60500cd89f
Ministère du travail,,534fff96a3a7292c64a77ff4
travail,,534fff96a3a7292c64a77ff4
Etalab,,534fff75a3a7292c64a77de4
Agence du Numérique,,55ad1ccb88ee3868d5d98334
Open Food Facts,,534fff9ea3a7292c64a78049
Santé publique France,,5e721a395d57f93d0bed451f
Santé,,5e721a395d57f93d0bed451f
Société du Grand Paris,,534fffb1a3a7292c64a7811f
Institut National de l'Information Géographique et Forestière,,534fff80a3a7292c64a77e41
IGN,,534fff80a3a7292c64a77e41
Ministère de l'Europe et des Affaires Etrangères (MEAE),,534fff94a3a7292c64a77fb5
MAE,,534fff94a3a7292c64a77fb5
MEAE,,534fff94a3a7292c64a77fb5
affaires etrangères,,534fff94a3a7292c64a77fb5
Ministère des Solidarités et de la Santé,,534fff94a3a7292c64a77fc1
Ministère  Santé ,,534fff94a3a7292c64a77fc1
CNIL,,534fff61a3a7292c64a77d59
Opendatasoft,,534fffa0a3a7292c64a78061
"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",,534fff90a3a7292c64a77f45
Open Data Réseaux Énergies,,5a0f0384c751df5f68d855b9
Ministère de la Culture,,534fff91a3a7292c64a77f73
Culture,,534fff91a3a7292c64a77f73
Premier ministre,,534fffa5a3a7292c64a7809e
Ministère de la Transition écologique,,534fff8da3a7292c64a77eee
Ministère de la Cohésion des territoires,,534fff8fa3a7292c64a77f3d
Mairie de Paris,,534fff89a3a7292c64a77eb7
Métropole de Lyon,,534fff7aa3a7292c64a77e0c
Région Île-de-France,,534fffa8a3a7292c64a780c8
Pôle emploi,,534fffa3a3a7292c64a78094
emploi,,534fffa3a3a7292c64a78094
Service d'Information du Gouvernement,,54126af3a3a7292a9bbf14d6
Caisse Nationale des Allocations familiales ,,5595066cc751df4582a453ba
CAF,,5595066cc751df4582a453ba
CNAF,,5595066cc751df4582a453ba
Assemblée nationale,,55819607c751df7bdda453b9
AN,,55819607c751df7bdda453b9
Direction interministérielle du numérique,,57fe2a35c751df21e179df72
DINUM,,57fe2a35c751df21e179df72
